;уникальный номер;пол;age;raion;fio
9;101430946;1;72;95;Златов Альберт Вадимович
19;101432233;1;75;132;Полотебнов Роман Максимович
23;101371812;1;84;101;Чужинов Руслан Филиппович
48;101366458;1;65;76;Бухтин Анатолий Ринатович
75;101389071;1;77;36;Борушко Кирилл Данилович
78;101409759;1;63;32;Анаников Петр Николаевич
87;101356010;1;74;131;Самсоненков Аркадий Тимофеевич
97;101450104;1;71;53;Мартехов Борис Иванович
109;101352794;1;73;8;Бырдин Константин Егорович
110;101419022;1;65;53;Свияженов Иван Игоревич
121;101446594;1;59;34;Бажуков Вячеслав Константинович
147;101363822;1;86;121;Красноглядов Виктор Валерьевич
167;101376822;1;73;49;Кузьминцев Валерий Семенович
170;101431855;1;68;49;Карнаухов Павел Вячеславович
171;101442271;1;64;56;Шкаликов Федор Эдуардович
175;101416110;1;84;76;Суходольский Кирилл Семенович
179;101413377;1;83;83;Шальников Петр Олегович
191;101396507;1;69;6;Голунов Илья Артемович
208;101429381;1;62;111;Велтищев Ефим Владимирович
211;101449742;1;62;102;Новгородкин Глеб Кириллович
212;101427111;1;69;46;Чугуков Ринат Сергеевич
218;101365201;1;65;41;Татаркин Максим Тимофеевич
232;101449723;1;63;27;Горбов Виталий Михаилович
260;101428455;1;68;53;Клишев Михаил Георгиевич
271;101373633;1;66;54;Димитров Федор Евгеньевич
281;101368549;1;74;56;Чернопаневкин Александр Янович
287;101395627;1;65;43;Громогласов Данил Робертович
289;101427316;1;67;73;Бантышев Валентин Тимофеевич
317;101428585;1;68;61;Акиндинов Максим Ринатович
321;101406643;1;74;15;Пищенко Артур Владиславович
361;101411788;1;66;76;Верболозов Станислав Витальевич
373;101428244;1;73;12;Бадьев Константин Викторович
386;101398845;1;69;118;Хомутов Роберт Константинович
393;101409290;1;70;25;Малеев Виталий Евгеньевич
406;101448800;1;72;96;Недобитов Антон Игоревич
420;101387035;1;68;72;Бекленищев Валерий Рамилевич
431;101409854;1;68;117;Куницин Филипп Геннадьевич
450;101415802;1;64;131;Галченко Григорий Эдуардович
451;101385362;1;77;114;Белогуб Анатолий Тимофеевич
454;101448793;1;67;6;Жилов Станислав Степанович
457;101394953;1;76;89;Гомозин Роберт Рамилевич
469;101366704;1;64;86;Кирнасовский Денис Александрович
479;101445297;1;78;103;Парамохин Иван Валерьевич
481;101397814;1;70;114;Бровински Степан Витальевич
484;101373454;1;65;32;Пинаичев Антон Максимович
496;101426583;1;57;121;Бровцын Егор Кириллович
521;101399267;1;59;73;Позолотчиков Артур Антонович
531;101444546;1;64;103;Ожиганов Борис Валентинович
540;101444975;1;67;73;Топоногов Валентин Константинович
547;101370912;1;72;56;Шокальский Вячеслав Яковлев
573;101444093;1;64;81;Темин Данил Аркадьевич
574;101432626;1;75;132;Флоренский Степан Михаилович
578;101433627;1;61;99;Вьюнов Тимофей Андреевич
587;101384954;1;80;137;Баденов Руслан Альбертович
594;101400247;1;74;3;Вустин Вячеслав Аркадьевич
602;101407913;1;70;47;Ефимцов Иван Алексеевич
624;101367967;1;72;107;Кутлуев Тимур Романович
633;101446250;1;72;117;Базилевский Геннадий Игоревич
634;101370417;1;72;123;Базаркин Никита Юрьевич
640;101380786;1;63;73;Атаханов Егор Робертович
659;101365386;1;73;120;Беззубин Алексей Валерьевич
675;101361332;1;85;99;Афремов Илья Витальевич
685;101420665;1;63;52;Агекян Иван Кириллович
693;101351844;1;79;113;Маринич Иван Тимурович
712;101427613;1;69;77;Атаров Аркадий Альбертович
722;101429628;1;67;81;Борец Тимофей Ринатович
724;101449825;1;67;8;Ведищев Федор Филиппович
725;101420313;1;63;79;Пронькин Герман Дмитриевич
748;101387874;1;70;69;Гильмуллин Геннадий Сергеевич
749;101392851;1;80;53;Акимченко Федор Викторович
754;101412752;1;70;125;Гаспаров Евгений Станиславович
757;101386007;1;72;103;Безносов Анатолий Ильдарович
761;101427321;1;66;113;Фаткулин Семен Андреевич
771;101407381;1;73;34;Лазаренков Денис Марселевич
773;101449795;1;70;44;Забродин Марсель Ильич
793;101424239;1;78;61;Кайнаров Филипп Константинович
818;101384413;1;74;72;Маренков Тимур Юрьевич
848;101447521;1;63;20;Торнов Сергей Иванович
856;101432286;1;67;37;Дацун Сергей Вадимович
883;101441392;1;62;10;Фефелов Герман Игоревич
884;101410626;1;83;22;Неумытов Ильдар Марселевич
888;101409257;1;70;7;Бутенко Виктор Васильевич
903;101384486;1;70;34;Халютин Илья Иванович
918;101386063;1;84;0;Казей Виталий Германович
923;101380932;1;70;73;Ленько Егор Юрьевич
937;101414034;1;71;123;Асланбегов Валентин Сергеевич
947;101448328;1;84;61;Бируков Евгений Артурович
951;101406747;1;66;76;Брок Ярослав Александрович
955;101409464;1;84;117;Махкамов Денис Владимирович
956;101441960;1;70;129;Павленков Руслан Олегович
958;101372364;1;88;53;Биктимиров Глеб Денисович
963;101438421;1;71;8;Корпачев Степан Тимофеевич
972;101437385;1;68;0;Сотницкий Тимофей Антонович
974;101407676;1;65;15;Жигайло Дмитрий Радикович
988;101395761;1;79;59;Каргопольцев Геннадий Семенович
996;101418347;1;68;110;Астаповский Константин Германович
1008;101354366;1;75;41;Любарский Максим Валентинович
1016;101408421;1;68;9;Свиньин Максим Артурович
1024;101354681;1;70;76;Абазовский Виктор Сергеевич
1029;101437121;1;61;43;Байбурин Виталий Олегович
1051;101443291;1;74;83;Омеличкин Антон Васильевич
1056;101407135;1;79;39;Жохов Леонид Семенович
1061;101388641;1;72;58;Галямов Виталий Валентинович
1064;101396848;1;65;75;Веригин Константин Владиславович
1066;101348038;1;65;64;Янтимиров Денис Ринатович
1072;101381476;1;69;96;Цертелев Василий Ильич
1078;101437696;1;72;46;Дерябин Марат Григорьевич
